species,island,bill_length,bill_depth,flipper_length,mass,sex,year
Adelie,Dream,3.69,1.86,18.9,3500,female,2008
Adelie,Dream,3.83,1.92,18.9,3950,male,2008
Adelie,Dream,3.89,1.88,19,3600,female,2008
Adelie,Dream,3.57,1.8,20.2,3550,female,2008
Adelie,Dream,4.11,1.81,20.5,4300,male,2008
Adelie,Dream,3.4,1.71,18.5,3400,female,2008
Adelie,Dream,3.96,1.81,18.6,4450,male,2008
Adelie,Dream,3.62,1.73,18.7,3300,female,2008
Adelie,Dream,4.08,1.89,20.8,4300,male,2008
Adelie,Dream,3.81,1.86,19,3700,female,2008
Adelie,Dream,4.03,1.85,19.6,4350,male,2008
Adelie,Dream,3.31,1.61,17.8,2900,female,2008
Adelie,Dream,4.32,1.85,19.2,4100,male,2008
Adelie,Biscoe,3.5,1.79,19.2,3725,female,2009
Adelie,Biscoe,4.1,2,20.3,4725,male,2009
Adelie,Biscoe,3.77,1.6,18.3,3075,female,2009
Adelie,Biscoe,3.78,2,19,4250,male,2009
Adelie,Biscoe,3.79,1.86,19.3,2925,female,2009
Adelie,Biscoe,3.97,1.89,18.4,3550,male,2009
Adelie,Biscoe,3.86,1.72,19.9,3750,female,2009
Adelie,Biscoe,3.82,2,19,3900,male,2009
Adelie,Biscoe,3.81,1.7,18.1,3175,female,2009
Adelie,Biscoe,4.32,1.9,19.7,4775,male,2009
Adelie,Biscoe,3.81,1.65,19.8,3825,female,2009
Adelie,Biscoe,4.56,2.03,19.1,4600,male,2009
Adelie,Biscoe,3.97,1.77,19.3,3200,female,2009
Adelie,Biscoe,4.22,1.95,19.7,4275,male,2009
Adelie,Biscoe,3.96,2.07,19.1,3900,female,2009
Adelie,Biscoe,4.27,1.83,19.6,4075,male,2009
Adelie,Torgersen,3.86,1.7,18.8,2900,female,2009
Adelie,Torgersen,3.73,2.05,19.9,3775,male,2009
Adelie,Torgersen,3.57,1.7,18.9,3350,female,2009
Adelie,Torgersen,4.11,1.86,18.9,3325,male,2009
Adelie,Torgersen,3.62,1.72,18.7,3150,female,2009
Adelie,Torgersen,3.77,1.98,19.8,3500,male,2009
Adelie,Torgersen,4.02,1.7,17.6,3450,female,2009
Adelie,Torgersen,4.14,1.85,20.2,3875,male,2009
Adelie,Torgersen,3.52,1.59,18.6,3050,female,2009
Adelie,Torgersen,4.06,1.9,19.9,4000,male,2009
Adelie,Torgersen,3.88,1.76,19.1,3275,female,2009
Adelie,Torgersen,4.15,1.83,19.5,4300,male,2009
Adelie,Torgersen,3.9,1.71,19.1,3050,female,2009
Adelie,Torgersen,4.41,1.8,21,4000,male,2009
Adelie,Torgersen,3.85,1.79,19,3325,female,2009
Adelie,Torgersen,4.31,1.92,19.7,3500,male,2009
Adelie,Dream,3.68,1.85,19.3,3500,female,2009
Adelie,Dream,3.75,1.85,19.9,4475,male,2009
Adelie,Dream,3.81,1.76,18.7,3425,female,2009
Adelie,Dream,4.11,1.75,19,3900,male,2009
Adelie,Dream,3.56,1.75,19.1,3175,female,2009
Adelie,Dream,4.02,2.01,20,3975,male,2009
Adelie,Dream,3.7,1.65,18.5,3400,female,2009
Adelie,Dream,3.97,1.79,19.3,4250,male,2009
Adelie,Dream,4.02,1.71,19.3,3400,female,2009
Adelie,Dream,4.06,1.72,18.7,3475,male,2009
Adelie,Dream,3.21,1.55,18.8,3050,female,2009
Adelie,Dream,4.07,1.7,19,3725,male,2009
Adelie,Dream,3.73,1.68,19.2,3000,female,2009
Adelie,Dream,3.9,1.87,18.5,3650,male,2009
Adelie,Dream,3.92,1.86,19,4250,male,2009
Adelie,Dream,3.66,1.84,18.4,3475,female,2009
Adelie,Dream,3.6,1.78,19.5,3450,female,2009
Adelie,Dream,3.78,1.81,19.3,3750,male,2009
Adelie,Dream,3.6,1.71,18.7,3700,female,2009
Adelie,Dream,4.15,1.85,20.1,4000,male,2009
Gentoo,Biscoe,4.61,1.32,21.1,4500,female,2007
Gentoo,Biscoe,5,1.63,23,5700,male,2007
Gentoo,Biscoe,4.87,1.41,21,4450,female,2007
Gentoo,Biscoe,5,1.52,21.8,5700,male,2007
Gentoo,Biscoe,4.76,1.45,21.5,5400,male,2007
Gentoo,Biscoe,4.65,1.35,21,4550,female,2007
Gentoo,Biscoe,4.54,1.46,21.1,4800,female,2007
Gentoo,Biscoe,4.67,1.53,21.9,5200,male,2007
Gentoo,Biscoe,4.33,1.34,20.9,4400,female,2007
Gentoo,Biscoe,4.68,1.54,21.5,5150,male,2007
Gentoo,Biscoe,4.09,1.37,21.4,4650,female,2007
Gentoo,Biscoe,4.9,1.61,21.6,5550,male,2007
Gentoo,Biscoe,4.55,1.37,21.4,4650,female,2007
Gentoo,Biscoe,4.84,1.46,21.3,5850,male,2007
Gentoo,Biscoe,4.58,1.46,21,4200,female,2007
Gentoo,Biscoe,4.93,1.57,21.7,5850,male,2007
Gentoo,Biscoe,4.2,1.35,21,4150,female,2007
Gentoo,Biscoe,4.92,1.52,22.1,6300,male,2007
Gentoo,Biscoe,4.62,1.45,20.9,4800,female,2007
Gentoo,Biscoe,4.87,1.51,22.2,5350,male,2007
Gentoo,Biscoe,5.02,1.43,21.8,5700,male,2007
Gentoo,Biscoe,4.51,1.45,21.5,5000,female,2007
Gentoo,Biscoe,4.65,1.45,21.3,4400,female,2007
Gentoo,Biscoe,4.63,1.58,21.5,5050,male,2007
Gentoo,Biscoe,4.29,1.31,21.5,5000,female,2007
Gentoo,Biscoe,4.61,1.51,21.5,5100,male,2007
Gentoo,Biscoe,4.78,1.5,21.5,5650,male,2007
Gentoo,Biscoe,4.82,1.43,21,4600,female,2007
Gentoo,Biscoe,5,1.53,22,5550,male,2007
Gentoo,Biscoe,4.73,1.53,22.2,5250,male,2007
Gentoo,Biscoe,4.28,1.42,20.9,4700,female,2007
Gentoo,Biscoe,4.51,1.45,20.7,5050,female,2007
Gentoo,Biscoe,5.96,1.7,23,6050,male,2007
Gentoo,Biscoe,4.91,1.48,22,5150,female,2008
Gentoo,Biscoe,4.84,1.63,22,5400,male,2008
Gentoo,Biscoe,4.26,1.37,21.3,4950,female,2008
Gentoo,Biscoe,4.44,1.73,21.9,5250,male,2008
Gentoo,Biscoe,4.4,1.36,20.8,4350,female,2008
Gentoo,Biscoe,4.87,1.57,20.8,5350,male,2008
Gentoo,Biscoe,4.27,1.37,20.8,3950,female,2008
Gentoo,Biscoe,4.96,1.6,22.5,5700,male,2008
Gentoo,Biscoe,4.53,1.37,21,4300,female,2008
Gentoo,Biscoe,4.96,1.5,21.6,4750,male,2008
Gentoo,Biscoe,5.05,1.59,22.2,5550,male,2008
Gentoo,Biscoe,4.36,1.39,21.7,4900,female,2008
Gentoo,Biscoe,4.55,1.39,21,4200,female,2008
Gentoo,Biscoe,5.05,1.59,22.5,5400,male,2008
Gentoo,Biscoe,4.49,1.33,21.3,5100,female,2008
Gentoo,Biscoe,4.52,1.58,21.5,5300,male,2008
Gentoo,Biscoe,4.66,1.42,21,4850,female,2008
Gentoo,Biscoe,4.85,1.41,22,5300,male,2008
Gentoo,Biscoe,4.51,1.44,21,4400,female,2008
Gentoo,Biscoe,5.01,1.5,22.5,5000,male,2008
Gentoo,Biscoe,4.65,1.44,21.7,4900,female,2008
Gentoo,Biscoe,4.5,1.54,22,5050,male,2008
Gentoo,Biscoe,4.38,1.39,20.8,4300,female,2008
Gentoo,Biscoe,4.55,1.5,22,5000,male,2008
Gentoo,Biscoe,4.32,1.45,20.8,4450,female,2008
Gentoo,Biscoe,5.04,1.53,22.4,5550,male,2008
Gentoo,Biscoe,4.53,1.38,20.8,4200,female,2008
Gentoo,Biscoe,4.62,1.49,22.1,5300,male,2008
Gentoo,Biscoe,4.57,1.39,21.4,4400,female,2008
Gentoo,Biscoe,5.43,1.57,23.1,5650,male,2008
Gentoo,Biscoe,4.58,1.42,21.9,4700,female,2008
Gentoo,Biscoe,4.98,1.68,23,5700,male,2008
Gentoo,Biscoe,4.95,1.62,22.9,5800,male,2008
Gentoo,Biscoe,4.35,1.42,22,4700,female,2008
Gentoo,Biscoe,5.07,1.5,22.3,5550,male,2008
Gentoo,Biscoe,4.77,1.5,21.6,4750,female,2008
Gentoo,Biscoe,4.64,1.56,22.1,5000,male,2008
Gentoo,Biscoe,4.82,1.56,22.1,5100,male,2008
Gentoo,Biscoe,4.65,1.48,21.7,5200,female,2008
Gentoo,Biscoe,4.64,1.5,21.6,4700,female,2008
Gentoo,Biscoe,4.86,1.6,23,5800,male,2008
Gentoo,Biscoe,4.75,1.42,20.9,4600,female,2008
Gentoo,Biscoe,5.11,1.63,22,6000,male,2008
Gentoo,Biscoe,4.52,1.38,21.5,4750,female,2008
Gentoo,Biscoe,4.52,1.64,22.3,5950,male,2008
Gentoo,Biscoe,4.91,1.45,21.2,4625,female,2009
Gentoo,Biscoe,5.25,1.56,22.1,5450,male,2009
Gentoo,Biscoe,4.74,1.46,21.2,4725,female,2009
Gentoo,Biscoe,5,1.59,22.4,5350,male,2009
Gentoo,Biscoe,4.49,1.38,21.2,4750,female,2009
Gentoo,Biscoe,5.08,1.73,22.8,5600,male,2009
Gentoo,Biscoe,4.34,1.44,21.8,4600,female,2009
Gentoo,Biscoe,5.13,1.42,21.8,5300,male,2009
Gentoo,Biscoe,4.75,1.4,21.2,4875,female,2009
Gentoo,Biscoe,5.21,1.7,23,5550,male,2009
Gentoo,Biscoe,4.75,1.5,21.8,4950,female,2009
Gentoo,Biscoe,5.22,1.71,22.8,5400,male,2009
Gentoo,Biscoe,4.55,1.45,21.2,4750,female,2009
Gentoo,Biscoe,4.95,1.61,22.4,5650,male,2009
Gentoo,Biscoe,4.45,1.47,21.4,4850,female,2009
Gentoo,Biscoe,5.08,1.57,22.6,5200,male,2009
Gentoo,Biscoe,4.94,1.58,21.6,4925,male,2009
Gentoo,Biscoe,4.69,1.46,22.2,4875,female,2009
Gentoo,Biscoe,4.84,1.44,20.3,4625,female,2009
Gentoo,Biscoe,5.11,1.65,22.5,5250,male,2009
Gentoo,Biscoe,4.85,1.5,21.9,4850,female,2009
Gentoo,Biscoe,5.59,1.7,22.8,5600,male,2009
Gentoo,Biscoe,4.72,1.55,21.5,4975,female,2009
Gentoo,Biscoe,4.91,1.5,22.8,5500,male,2009
Gentoo,Biscoe,4.68,1.61,21.5,5500,male,2009
Gentoo,Biscoe,4.17,1.47,21,4700,female,2009
Gentoo,Biscoe,5.34,1.58,21.9,5500,male,2009
Gentoo,Biscoe,4.33,1.4,20.8,4575,female,2009
Gentoo,Biscoe,4.81,1.51,20.9,5500,male,2009
Gentoo,Biscoe,5.05,1.52,21.6,5000,female,2009
Gentoo,Biscoe,4.98,1.59,22.9,5950,male,2009
Gentoo,Biscoe,4.35,1.52,21.3,4650,female,2009
Gentoo,Biscoe,5.15,1.63,23,5500,male,2009
Gentoo,Biscoe,4.62,1.41,21.7,4375,female,2009
Gentoo,Biscoe,5.51,1.6,23,5850,male,2009
Gentoo,Biscoe,4.88,1.62,22.2,6000,male,2009
Gentoo,Biscoe,4.72,1.37,21.4,4925,female,2009
Gentoo,Biscoe,4.68,1.43,21.5,4850,female,2009
Gentoo,Biscoe,5.04,1.57,22.2,5750,male,2009
Gentoo,Biscoe,4.52,1.48,21.2,5200,female,2009
Gentoo,Biscoe,4.99,1.61,21.3,5400,male,2009
Chinstrap,Dream,4.65,1.79,19.2,3500,female,2007
Chinstrap,Dream,5,1.95,19.6,3900,male,2007
Chinstrap,Dream,5.13,1.92,19.3,3650,male,2007
Chinstrap,Dream,4.54,1.87,18.8,3525,female,2007
Chinstrap,Dream,5.27,1.98,19.7,3725,male,2007
Chinstrap,Dream,4.52,1.78,19.8,3950,female,2007
Chinstrap,Dream,4.61,1.82,17.8,3250,female,2007
Chinstrap,Dream,5.13,1.82,19.7,3750,male,2007
Chinstrap,Dream,4.6,1.89,19.5,4150,female,2007
Chinstrap,Dream,5.13,1.99,19.8,3700,male,2007
Chinstrap,Dream,4.66,1.78,19.3,3800,female,2007
Chinstrap,Dream,5.17,2.03,19.4,3775,male,2007
Chinstrap,Dream,4.7,1.73,18.5,3700,female,2007
Chinstrap,Dream,5.2,1.81,20.1,4050,male,2007
Chinstrap,Dream,4.59,1.71,19,3575,female,2007
Chinstrap,Dream,5.05,1.96,20.1,4050,male,2007
Chinstrap,Dream,5.03,2,19.7,3300,male,2007
Chinstrap,Dream,5.8,1.78,18.1,3700,female,2007
Chinstrap,Dream,4.64,1.86,19,3450,female,2007
Chinstrap,Dream,4.92,1.82,19.5,4400,male,2007
Chinstrap,Dream,4.24,1.73,18.1,3600,female,2007
Chinstrap,Dream,4.85,1.75,19.1,3400,male,2007
Chinstrap,Dream,4.32,1.66,18.7,2900,female,2007
Chinstrap,Dream,5.06,1.94,19.3,3800,male,2007
Chinstrap,Dream,4.67,1.79,19.5,3300,female,2007
Chinstrap,Dream,5.2,1.9,19.7,4150,male,2007
Chinstrap,Dream,5.05,1.84,20,3400,female,2008
Chinstrap,Dream,4.95,1.9,20,3800,male,2008
Chinstrap,Dream,4.64,1.78,19.1,3700,female,2008
Chinstrap,Dream,5.28,2,20.5,4550,male,2008
Chinstrap,Dream,4.09,1.66,18.7,3200,female,2008
Chinstrap,Dream,5.42,2.08,20.1,4300,male,2008
Chinstrap,Dream,4.25,1.67,18.7,3350,female,2008
Chinstrap,Dream,5.1,1.88,20.3,4100,male,2008
Chinstrap,Dream,4.97,1.86,19.5,3600,male,2008
Chinstrap,Dream,4.75,1.68,19.9,3900,female,2008
Chinstrap,Dream,4.76,1.83,19.5,3850,female,2008
Chinstrap,Dream,5.2,2.07,21,4800,male,2008
Chinstrap,Dream,4.69,1.66,19.2,2700,female,2008
Chinstrap,Dream,5.35,1.99,20.5,4500,male,2008
Chinstrap,Dream,4.9,1.95,21,3950,male,2008
Chinstrap,Dream,4.62,1.75,18.7,3650,female,2008
Chinstrap,Dream,5.09,1.91,19.6,3550,male,2008
Chinstrap,Dream,4.55,1.7,19.6,3500,female,2008
Chinstrap,Dream,5.09,1.79,19.6,3675,female,2009
Chinstrap,Dream,5.08,1.85,20.1,4450,male,2009
Chinstrap,Dream,5.01,1.79,19,3400,female,2009
Chinstrap,Dream,4.9,1.96,21.2,4300,male,2009
Chinstrap,Dream,5.15,1.87,18.7,3250,male,2009
Chinstrap,Dream,4.98,1.73,19.8,3675,female,2009
Chinstrap,Dream,4.81,1.64,19.9,3325,female,2009
Chinstrap,Dream,5.14,1.9,20.1,3950,male,2009
Chinstrap,Dream,4.57,1.73,19.3,3600,female,2009
Chinstrap,Dream,5.07,1.97,20.3,4050,male,2009
Chinstrap,Dream,4.25,1.73,18.7,3350,female,2009
Chinstrap,Dream,5.22,1.88,19.7,3450,male,2009
Chinstrap,Dream,4.52,1.66,19.1,3250,female,2009
Chinstrap,Dream,4.93,1.99,20.3,4050,male,2009
Chinstrap,Dream,5.02,1.88,20.2,3800,male,2009
Chinstrap,Dream,4.56,1.94,19.4,3525,female,2009
Chinstrap,Dream,5.19,1.95,20.6,3950,male,2009
Chinstrap,Dream,4.68,1.65,18.9,3650,female,2009
Chinstrap,Dream,4.57,1.7,19.5,3650,female,2009
Chinstrap,Dream,5.58,1.98,20.7,4000,male,2009
Chinstrap,Dream,4.35,1.81,20.2,3400,female,2009
Chinstrap,Dream,4.96,1.82,19.3,3775,male,2009
Chinstrap,Dream,5.08,1.9,21,4100,male,2009
Chinstrap,Dream,5.02,1.87,19.8,3775,female,2009
